aggregated	self	category	text
92.16%	0.00%	1	ba	<child_talking> Wow
92.16%	0.00%	1	ba	[ It +  it ] sure does
92.17%	0.00%	1	ba	I don't know either
92.17%	0.00%	1	ba	{F Oh } {F oh } yeah
92.17%	0.00%	1	b	Anyway
92.17%	0.00%	1	ba	that's okay
92.17%	0.00%	1	bf	Sort of easy listening because you like country
92.18%	0.00%	1	br	unsweetened?
92.18%	0.00%	1	b	(( Okay
92.18%	0.00%	1	ba	That's a good choice
92.18%	0.00%	1	bf	Hardware stuff {F huh }
92.19%	0.00%	1	bk	{F Oh } okay  {F um }
92.19%	0.00%	1	b	{F Uh } <<faint>> yeah
92.19%	0.00%	1	ba	{D Well } that's <noise>  fascinating
92.19%	0.00%	1	b^m	Two boys
92.19%	0.00%	1	b^m	Our movie stars
92.20%	0.00%	1	b	</Child> Yeah
92.20%	0.00%	1	ba	that's true too
92.20%	0.00%	1	ba	{C And } good luck
92.20%	0.00%	1	b^m	Fish eggs?
92.20%	0.00%	1	bf	your talking about corpor-  -
92.21%	0.00%	1	br	He's got what?
92.21%	0.00%	1	bf	{C So } there isn't much crossover {F huh }
92.21%	0.00%	1	bh	Blue?
92.21%	0.00%	1	bf	you know you put your stuff where it's -
92.21%	0.00%	1	ba	{F Oh } right
92.22%	0.00%	1	ba	that's cute
92.22%	0.00%	1	ba	How fun
92.22%	0.00%	1	b	<Laughter> Sure
92.22%	0.00%	1	b	<hum> Uh-huh
92.23%	0.00%	1	b^m	Dayton Ohio
92.23%	0.00%	1	bh	It isn't?
92.23%	0.00%	1	bk	{F Oh } se- -
92.23%	0.00%	1	ba	{D Well } that sounds fantastic
92.23%	0.00%	1	bf	like you said I don't know [ how much + how much ] they're taking from the work force {D you know }
92.24%	0.00%	1	ba	{F Oh }  {D well } that sounds like fun too <laughter>
92.24%	0.00%	1	ba	{F Oh } {F oh } that sounds wonderful
92.24%	0.00%	1	b	Yeah {F Huh } <sigh>
92.24%	0.00%	1	bh	Does he {F ooh }
92.24%	0.00%	1	ba	{D Well } that's fun
92.25%	0.00%	1	ba	{D You know } that's interesting
92.25%	0.00%	1	ba	{F Um } gee
92.25%	0.00%	1	ba	{D Well } that sounds real neat
92.25%	0.00%	1	b	Then right
92.25%	0.00%	1	ba	{F Oh } really
92.26%	0.00%	1	b	[ {C And } + {C and } ] yeah
92.26%	0.00%	1	b^m	For the machine
92.26%	0.00%	1	br	In New Mexico?
92.26%	0.00%	1	ba	{D Well } [ that's + that's ] all right
92.27%	0.00%	1	b	Uh-huh {D you know }
92.27%	0.00%	1	b^m	Eighteen
92.27%	0.00%	1	ba	<Laughter> This is so funny
92.27%	0.00%	1	b	{F Oh }  (( are you ))  <laughter>
92.27%	0.00%	1	ba	How funny <laughter>
92.28%	0.00%	1	bf	Looks like  the George Town brownstone <laughter>
92.28%	0.00%	1	bf	{D So } that's perfect
92.28%	0.00%	1	ba	that will happen
92.28%	0.00%	1	br	Being what?
92.28%	0.00%	1	ba	Durn
92.29%	0.00%	1	ba	That would be really nice <Barking>
92.29%	0.00%	1	b^m	Two and half {F oh }
92.29%	0.00%	1	bh	The Dallas Cowgirls  {F huh }
92.29%	0.00%	1	bf	{C and } the jurors just sort of -
92.29%	0.00%	1	br	Criminal courts?
92.30%	0.00%	1	b^m	Salad bar
92.30%	0.00%	1	ba	{F Oh } that's a good size
92.30%	0.00%	1	bh	<Laughter>  {F Oh } was it?
92.30%	0.00%	1	bf	Not as independence
92.31%	0.00%	1	bf	Or {D you know } plead insanity
92.31%	0.00%	1	ba	<Laughter> {D Well } that sounds interesting
92.31%	0.00%	1	ba	Oh my gosh
92.31%	0.00%	1	ba	I'll bet you did
92.31%	0.00%	1	br	In where  (( Rome ))  New York?
92.32%	0.00%	1	ba	<Laughter> {F Oh } that's funny
92.32%	0.00%	1	bf	{C and } now he sees
92.32%	0.00%	1	b	<Laughter>   (( Yeah
92.32%	0.00%	1	bf	<laughter>  [ It's + it's ] not -
92.32%	0.00%	1	ba	well that's neat
92.33%	0.00%	1	bd	{F um } {C but } it's okay
92.33%	0.00%	1	bh	Do they?
92.33%	0.00%	1	ba	That's true  {D Well }
92.33%	0.00%	1	ba	{F Oh } fun
92.33%	0.00%	1	br	Every what?
92.34%	0.00%	1	br	Toronto?
92.34%	0.00%	1	ba	{C And } unfortunately [ the + ] {F uh } [  that's + that's ] tough
92.34%	0.00%	1	b^m	My home
92.34%	0.00%	1	ba	Ooh boy
92.35%	0.00%	1	ba	{D well } [ tha- + that's ] good
92.35%	0.00%	1	bf	{C So } this is where the people have been kind of <<pause>> W- -
92.35%	0.00%	1	br	What was the second one?
92.35%	0.00%	1	ba	That could well be
92.35%	0.00%	1	bf	Compile more statistics
92.36%	0.00%	1	bd	No problem
92.36%	0.00%	1	ba	goodness
92.36%	0.00%	1	ba	[ That's
92.36%	0.00%	1	bf	{D so } [ you don't have to + you don't have to ] buy the lot of the wardrobe that some of the people in banking and that kind of thing do
92.36%	0.00%	1	b	Yeah <Throat_clearing>
92.37%	0.00%	1	br	Step classes?
92.37%	0.00%	1	ba	no problems <laughter>
92.37%	0.00%	1	b	{D See } -
92.37%	0.00%	1	ba	that's actually really good
92.37%	0.00%	1	ba	I wouldn't be
92.38%	0.00%	1	ba	{C So } that sounds great
92.38%	0.00%	1	ba	{F Oh } those are nice
92.38%	0.00%	1	bf	{D So } [ [ you + you were out of s- ] + you went to school ] for awhile and quit Then  went back
92.38%	0.00%	1	ba	<Laughter> {F Oh } God
92.39%	0.00%	1	b	<Snort> Yeah
92.39%	0.00%	1	bd	that's all right
92.39%	0.00%	1	bf	they can't do [ your +  {F um
92.39%	0.00%	1	ba	<laughter> {D Well } that sounds fun
92.39%	0.00%	1	b^m	Don't have a great -
92.40%	0.00%	1	bk	<<Very faint>>  Okay
92.40%	0.00%	1	ba	{F Oh } I  bet it is too
92.40%	0.00%	1	b^m	Ten
92.40%	0.00%	1	ba	{F Oh } that makes sense
92.40%	0.00%	1	b	</Baby> Yeah
92.41%	0.00%	1	ba	it sounds awful
92.41%	0.00%	1	b	Oh <throat_clearing>
92.41%	0.00%	1	bk	<Laughter> All right
92.41%	0.00%	1	ba	I imagine  ((   ))
92.41%	0.00%	1	bf	{D so }  you said you're from Mississippi?
92.42%	0.00%	1	b	{D Well }  -
92.42%	0.00%	1	ba	{F Uh } oh
92.42%	0.00%	1	bf	it's another war zone
92.42%	0.00%	1	b	Alright
92.43%	0.00%	1	ba	That is really sad
92.43%	0.00%	1	bf	you get it from people then
92.43%	0.00%	1	ba	It certainly is
92.43%	0.00%	1	ba	That's right <throat_clearing>
92.43%	0.00%	1	bh	{F Oh } it is Japanese
92.44%	0.00%	1	ba	{F Um } {F oh } God <<very faint>>
92.44%	0.00%	1	b^m	Free
92.44%	0.00%	1	ba	That's interesting Uh-huh
92.44%	0.00%	1	b	<Sniffing> Right
92.44%	0.00%	1	ba	<Laughter> {D Well } that's great
92.45%	0.00%	1	ba	Goodness sake
92.45%	0.00%	1	bh	{F Oh } you are --
92.45%	0.00%	1	bh	<laughter> would they
92.45%	0.00%	1	br	<Child> <<in background>> What did you say?
92.46%	0.00%	1	ba	{D Well } {D now } that's a thought
92.46%	0.00%	1	ba	they were
92.46%	0.00%	1	b	<Child_talking> {E Excuse me }  How did I get into it  {F oh }
92.46%	0.00%	1	b^m	Centimeters
92.46%	0.00%	1	b	<Door> Right
92.47%	0.00%	1	b	{F uh } -
92.47%	0.00%	1	bf	do those little things
92.47%	0.00%	1	b	Okay Carol
92.47%	0.00%	1	bf	you  don't know who you can trust
92.47%	0.00%	1	bf	{F Oh } you do a lot then
92.48%	0.00%	1	ba	{D Well } that is pretty big <laughter>
92.48%	0.00%	1	ba	[ That's + that's ] nice
92.48%	0.00%	1	ba	{F Oh } that's a pretty good deal
92.48%	0.00%	1	ba	{F Oh } it's unbelievable  how  much you go through
92.48%	0.00%	1	br	Locust Hill?
92.49%	0.00%	1	bf	you kind of try  and buy bigger quantities
92.49%	0.00%	1	br	That's what you're saying?
92.49%	0.00%	1	ba	{C but
92.49%	0.00%	1	bf	That's a lot of money
92.50%	0.00%	1	ba	Awesome
92.50%	0.00%	1	b	<<Faint>> Oh
92.50%	0.00%	1	ba	{D Well } good -
92.50%	0.00%	1	bh	{F Oh } has he?
92.50%	0.00%	1	b	Yeah <baby_talking>
92.51%	0.00%	1	bf	<Laughter>   {C ((But } it was)) still running
92.51%	0.00%	1	bd	<Laughter> {F Oh } is that what it means
92.51%	0.00%	1	ba	<Laughter>  {F Oh } gosh
92.51%	0.00%	1	ba	I thought wow  <laughter>
92.51%	0.00%	1	ba	That would probably be good
92.52%	0.00%	1	br	Where am I?
92.52%	0.00%	1	bf	{C So } [ you'd + you'd ] rather see it harder to convict somebody
92.52%	0.00%	1	br	Target stores?
92.52%	0.00%	1	b	<Printer>  Yeah
92.52%	0.00%	1	ba	it is
92.53%	0.00%	1	b	{F Oh } yeah <rustling> <<paper shuffling>>
92.53%	0.00%	1	ba	[ I + I ] think that's great
92.53%	0.00%	1	bf	{F Oh } [ like +  like ] social changes
92.53%	0.00%	1	b	(( {C But } yeah
92.54%	0.00%	1	ba	{D Well } that's  interesting
92.54%	0.00%	1	bf	it works and then  again it takes too long for it to work
92.54%	0.00%	1	ba	With two little kids I can understand that
92.54%	0.00%	1	bf	Sometimes it might be the candlelight
92.54%	0.00%	1	bf	the owner's responsibility?
92.55%	0.00%	1	ba	{F Oh }  yes
92.55%	0.00%	1	bf	Unfair or something
92.55%	0.00%	1	ba	That was lucky
92.55%	0.00%	1	b^m	Six seven and eight
92.55%	0.00%	1	bf	<Breathing>  <laughter>  You have to learn how to  do it
92.56%	0.00%	1	b	<Clinking> Yeah
92.56%	0.00%	1	b	I'll bet it is
92.56%	0.00%	1	ba	-- that's very true
92.56%	0.00%	1	ba	{F Oh } that's wonderful though <laughter> -
92.56%	0.00%	1	br	{F Oh } Amarillo?
92.57%	0.00%	1	bf	{F Uh } {C so } they were suing to get it back
92.57%	0.00%	1	bf	you think it's [ more + more ] to society
92.57%	0.00%	1	bf	Who know what they're doing with that
92.57%	0.00%	1	bf	Relax and try to go to sleep
92.58%	0.00%	1	bf	{C so } the convenience  -
92.58%	0.00%	1	b	Oh  <<Sounds like typing noises in background>>
92.58%	0.00%	1	ba	I'll bet {F um }
92.58%	0.00%	1	ba	It's true
92.58%	0.00%	1	bf	the greatest hits
92.59%	0.00%	1	bh	{F Oh } you do --
92.59%	0.00%	1	b	Uh-huh {F um }
92.59%	0.00%	1	b	{D yeah }  to -
92.59%	0.00%	1	b	Yeah I know
92.59%	0.00%	1	b	{Very faint} Oh
92.60%	0.00%	1	b	{F Uh } <laughter> yeah
92.60%	0.00%	1	bk	{F Oh } drywall
92.60%	0.00%	1	ba	{D Well } I declare
92.60%	0.00%	1	b	<Static> <laughter> Right <sniffing>
92.60%	0.00%	1	b	{F Uh } oh <laughter>
92.61%	0.00%	1	ba	<child_talking>  Boy  {D Well } {E I mean }
92.61%	0.00%	1	ba	[ I + I  ] bet it was
92.61%	0.00%	1	b^m	Dukakis
92.61%	0.00%	1	bk	I know
92.62%	0.00%	1	b	<Breathing> Yeah <noise>
92.62%	0.00%	1	ba	{D well } that's very good <laughter>
92.62%	0.00%	1	ba	Very much
92.62%	0.00%	1	b	French yeah
92.62%	0.00%	1	bf	{D So } [ [ you
92.63%	0.00%	1	ba	{C and } you enjoyed it better probably
92.63%	0.00%	1	ba	That is awful <laughter>
92.63%	0.00%	1	bf	A whole fam- -
92.63%	0.00%	1	ba	{F Oh } that's always refreshing to get away from
92.63%	0.00%	1	ba	[ That --
92.64%	0.00%	1	ba	I can't   ((   ))   -
92.64%	0.00%	1	b	Uh-huh <static>
92.64%	0.00%	1	b	Uh-huh  {F um }
92.64%	0.00%	1	b	<TV> <breathing> <static> Uh-huh
92.64%	0.00%	1	ba	That is wild
92.65%	0.00%	1	ba	{D Well } that's a neat idea
92.65%	0.00%	1	ba	<Laughter> I'll bet
92.65%	0.00%	1	b	Yeah  <<pause>>
92.65%	0.00%	1	bf	Work
92.66%	0.00%	1	b	<Sigh> Yeah
92.66%	0.00%	1	b	{C but } <laughter> yeah
92.66%	0.00%	1	b	<Inhaling>  Uh-huh
92.66%	0.00%	1	ba	Unfortunately
92.66%	0.00%	1	ba	That  should be fun
92.67%	0.00%	1	b^m	Baby
92.67%	0.00%	1	bh	He was in that?
92.67%	0.00%	1	bf	Even in the Summer time {F huh }
92.67%	0.00%	1	bh	No snow?
92.67%	0.00%	1	bf	{D so } the annual fee -
92.68%	0.00%	1	ba	{D well } that's always a good plan
92.68%	0.00%	1	ba	Had some money in her pocket yeah
92.68%	0.00%	1	bf	{C So } you're a serious camper
92.68%	0.00%	1	bf	It's way too late
92.68%	0.00%	1	ba	<Laughter> I like that
92.69%	0.00%	1	b^m	Rub up against the siding  {F Uh }
92.69%	0.00%	1	b	((   ))  yeah
92.69%	0.00%	1	b	Uh-huh  {D Well }
92.69%	0.00%	1	b	{F Um }   (( Yeah ))
92.70%	0.00%	1	ba	{F Oh } I understand what your talking about
92.70%	0.00%	1	b^m	Purdue
92.70%	0.00%	1	ba	{D Say } that good
92.70%	0.00%	1	bf	Just lucky to have jobs
92.70%	0.00%	1	bk	I can see that
92.71%	0.00%	1	bf	it's on down the line
92.71%	0.00%	1	ba	That's pretty understandable
92.71%	0.00%	1	bf	Rather than  -
92.71%	0.00%	1	ba	{F Oh } {F oh } I can believe that
92.71%	0.00%	1	ba	{F Oh } {D now } that's neat
92.72%	0.00%	1	b	uh-huh   {F Uh }
92.72%	0.00%	1	ba	<Lipsmack> I know how that goes --
92.72%	0.00%	1	ba	How wonderful
92.72%	0.00%	1	ba	{C And }  {F oh } my God  Here we go
92.72%	0.00%	1	ba	-- {D well } that's neat
92.73%	0.00%	1	ba	{C so } gosh
92.73%	0.00%	1	b^m	You're a financial planning firm?
92.73%	0.00%	1	bf	They've picked up the hab- -
92.73%	0.00%	1	bf	{C Because } you -
92.74%	0.00%	1	b	M C I
92.74%	0.00%	1	bk	that's right
92.74%	0.00%	1	b	-- {C but }  {F uh } yeah
92.74%	0.00%	1	ba	{F Oh } {F oh } that's good
92.74%	0.00%	1	b	Hey
92.75%	0.00%	1	b	OPRAH <laughter>
92.75%	0.00%	1	ba	Boy you really lift me up to a different -
92.75%	0.00%	1	ba	[ that's + that's ] sad
92.75%	0.00%	1	b	Oh sure <laughter>
92.75%	0.00%	1	b^m	Pick up
92.76%	0.00%	1	bf	{C and } the idea that {D you know }  if he got in trouble there's [ some +  some ] ways of getting out and that he doesn't  have to carry cash -
92.76%	0.00%	1	bh	It does?
92.76%	0.00%	1	ba	Thank goodness
92.76%	0.00%	1	bf	[ Que- +  [ you +  you're ] talking Queen ]
92.76%	0.00%	1	ba	{F Oh } {D Well } that's interesting
92.77%	0.00%	1	b^m	Ok
92.77%	0.00%	1	bf	{C So } they have n- -
92.77%	0.00%	1	bf	{C so } you have eight children
92.77%	0.00%	1	ba	[ that + that'll  ] be good
92.78%	0.00%	1	b	Okay  Leslie
92.78%	0.00%	1	b	I know --
92.78%	0.00%	1	b	<Noise> <talking> Oh
92.78%	0.00%	1	bf	a really good effort
92.78%	0.00%	1	ba	{F Oh } [ that + that ] would be wonderful -
92.79%	0.00%	1	b	Schedule vacation  time
92.79%	0.00%	1	b	<Laughter> Alright
92.79%	0.00%	1	ba	Really <laughter>
92.79%	0.00%	1	ba	{F Oh } that would be good
92.79%	0.00%	1	b	<<Very faint>>   Uh-huh
92.80%	0.00%	1	b	<Laughter> Bear bait
92.80%	0.00%	1	ba	boy he is
92.80%	0.00%	1	ba	{D Now } that's a very good suggestion
92.80%	0.00%	1	ba	{F Oh } what luck
92.80%	0.00%	1	b^m	Eleven
92.81%	0.00%	1	bh	Is that so?
92.81%	0.00%	1	ba	They do
92.81%	0.00%	1	b	{F Oh } Oh
92.81%	0.00%	1	br	{E I'm sorry } what?
92.82%	0.00%	1	ba	-- boy
92.82%	0.00%	1	ba	{F Oh } how marvelous
92.82%	0.00%	1	bf	{F oh } {F oh } you mean  you switched schools for the kids
92.82%	0.00%	1	bh	<Laughter>  Really?
92.82%	0.00%	1	bf	{D Well } it sounds like you do quite a bit of it
92.83%	0.00%	1	b	<Laughter>  That bad {F huh }
92.83%	0.00%	1	b^m	One
92.83%	0.00%	1	bf	It was easy for him to rule out
92.83%	0.00%	1	bh	Is that?
92.83%	0.00%	1	b	{F Um } {F um }  {F Um } {F um }
92.84%	0.00%	1	b	It's {F uh } -
92.84%	0.00%	1	ba	[ {D well } that's + {D well } that's ] funny
92.84%	0.00%	1	bk	{F Oh } okay <breathing>
92.84%	0.00%	1	ba	that's too bad
92.84%	0.00%	1	ba	{D well } [ that's + that's ] it
92.85%	0.00%	1	b	Anybody
92.85%	0.00%	1	ba	Shoo  I guess so
92.85%	0.00%	1	ba	{F Oh } {D now } that's bad
92.85%	0.00%	1	b	No  <laughter>
92.86%	0.00%	1	bf	You can't play those things
92.86%	0.00%	1	br	Uh the causes of crime?
92.86%	0.00%	1	bh	{F Oh } you have
92.86%	0.00%	1	ba	{F Oh } {D well } good <laughter>
92.86%	0.00%	1	b	[ Y- + yeah ] <breathing>
92.87%	0.00%	1	ba	That's a good -
92.87%	0.00%	1	ba	[ I'd + I ] bet
92.87%	0.00%	1	ba	{F Um } that sounds nice
92.87%	0.00%	1	ba	Ouch <laughter>
92.87%	0.00%	1	ba	[ that + that's ] too bad
92.88%	0.00%	1	ba	How lucky <laughter>
92.88%	0.00%	1	bf	You can't do that in a skirt <laughter> poor soul
92.88%	0.00%	1	bd	not <laughter> really
92.88%	0.00%	1	bd	{F Oh } {D well } I guess I'll get over it
92.88%	0.00%	1	bf	{C So } it's pretty fair they've got  you slaving away
92.89%	0.00%	1	ba	{C and } that's pretty fun
92.89%	0.00%	1	ba	{F Oh } no </talking> <<kids in background>>
92.89%	0.00%	1	bf	[ what it + what it ] is [ that'll + that'll
92.89%	0.00%	1	ba	[ that's + that ] would be good
92.90%	0.00%	1	b	<Laughter>  Sure
92.90%	0.00%	1	bf	{C so } you know about some of these things
92.90%	0.00%	1	bf	instead of being completely penned up
92.90%	0.00%	1	b	<Child_crying> Right
92.90%	0.00%	1	ba	I'm sure that's true
92.91%	0.00%	1	ba	that's true {D you know }
92.91%	0.00%	1	ba	Good grief these are well fed cows {F uh } <laughter>
92.91%	0.00%	1	bf	{D So }  you're from  Dal-
92.91%	0.00%	1	bf	{F Oh } {D so } you're from the Midwest too
92.91%	0.00%	1	bf	{C but } you're going to look nice for the kids <laughter>
92.92%	0.00%	1	ba	that's wonderful
92.92%	0.00%	1	bd	That happens
92.92%	0.00%	1	bf	{F Huh } {D well } I suppose you were surprised
92.92%	0.00%	1	b^m	[ Hem- +  hormones ]
92.92%	0.00%	1	bf	{D So }  you do {F uh } {D like } backpacking and the like?
92.93%	0.00%	1	ba	{F Oh } man  this is too scary
92.93%	0.00%	1	b	{D Well } -
92.93%	0.00%	1	b	Yes {F oh }
92.93%	0.00%	1	b^m	{C And } now  -
92.94%	0.00%	1	bd	I just left it
92.94%	0.00%	1	b	Yep  {F uh }
92.94%	0.00%	1	b	{F Oh } {D really } [ [ I + I ] + I ] -
92.94%	0.00%	1	ba	{C so } that's good
92.94%	0.00%	1	b	A running total
92.95%	0.00%	1	b^m	other than nuking it
92.95%	0.00%	1	b^m	Folk music
92.95%	0.00%	1	b	Deer Valley
92.95%	0.00%	1	ba	That's a lot
92.95%	0.00%	1	bf	Put the  colors away <laughter>
92.96%	0.00%	1	ba	What a shame
92.96%	0.00%	1	b^m	That was about it
92.96%	0.00%	1	br	In Tak?
92.96%	0.00%	1	ba	honestly
92.96%	0.00%	1	bf	Yearly fee
92.97%	0.00%	1	b	(( {F Oh } uh-huh
92.97%	0.00%	1	bf	{C but } if they do it again  and they really need to face the consequences then {F uh } -
92.97%	0.00%	1	b	That's true
92.97%	0.00%	1	ba	[ it + it's ] sad
92.98%	0.00%	1	ba	For goodness sakes
92.98%	0.00%	1	ba	at least your trying something
92.98%	0.00%	1	bh	Isn't that terrible?
92.98%	0.00%	1	b^m	inside -
92.98%	0.00%	1	ba	{D Well } {D see } that's it
92.99%	0.00%	1	b^m	<Laughter>  Yeah
92.99%	0.00%	1	bk	Okay {F oh }
92.99%	0.00%	1	br	Saginaw?
92.99%	0.00%	1	ba	{D Well } that's a shame
92.99%	0.00%	1	ba	You got it
93.00%	0.00%	1	ba	I bet it is gorgeous
93.00%	0.00%	1	ba	<noise> That sound like just an excellent solution
93.00%	0.00%	1	ba	<Lipsmack>  Oh
93.00%	0.00%	1	ba	Boy that would really be beneficial
93.00%	0.00%	1	b^m	A girl?
93.01%	0.00%	1	bf	{C so } what  you're  -
93.01%	0.00%	1	b	<<Faint>>  {F Oh } yeah
93.01%	0.00%	1	bf	Past a point it doesn't make any difference
93.01%	0.00%	1	ba	That's really scary
93.02%	0.00%	1	ba	{D Well } it sounds like a real nice one
93.02%	0.00%	1	b^m	Two living areas
93.02%	0.00%	1	bf	You can't iron it all
93.02%	0.00%	1	b^m	{C But } {F uh }  okay
93.02%	0.00%	1	bf	Jump at it
93.03%	0.00%	1	bk	<Laughter>  All right <<very faint>>
93.03%	0.00%	1	ba	{C and } {F uh } {F um } {C so } gee
93.03%	0.00%	1	bf	{F Oh } {C so } he's really into it
93.03%	0.00%	1	ba	{D Well } that sounds good too
93.03%	0.00%	1	ba	{D Well } that sounds like fun
93.04%	0.00%	1	bf	{C and } this is what it took finally <laughter>
93.04%	0.00%	1	b	Right </dishes>
93.04%	0.00%	1	b^m	Hopkins
93.04%	0.00%	1	ba	That sounds real good
93.04%	0.00%	1	bf	It was the big one
93.05%	0.00%	1	ba	[ Goo- + good ] question <laughter>
93.05%	0.00%	1	ba	Geez
93.05%	0.00%	1	ba	must be nice
93.05%	0.00%	1	ba	I understand {F uh }
93.06%	0.00%	1	bf	Have a law background
93.06%	0.00%	1	bh	Are  they?  <Laughter>
93.06%	0.00%	1	b	No {F um }
93.06%	0.00%	1	ba	{F Oh } that's not too bad
93.06%	0.00%	1	ba	{F Oh } heavens
93.07%	0.00%	1	bf	{C So } [ you're in + you're in ] favor of capital punishment then
93.07%	0.00%	1	ba	{F huh }  {D Well } that's all right
93.07%	0.00%	1	bf	{C and } you figured it wouldn't happen to you
93.07%	0.00%	1	bf	You are
93.07%	0.00%	1	ba	That'd be kind of fun
93.08%	0.00%	1	bf	{C So } you didn't really grow up with that kind of music then
93.08%	0.00%	1	ba	[ That + that ] sounds like a lot of fun
93.08%	0.00%	1	bf	{C So } you got to give them either more time  in the system or a different process that will hopefully work better
93.08%	0.00%	1	b	The other world
93.08%	0.00%	1	b^m	SILENCE OF THE LAMBS?
93.09%	0.00%	1	b	well -
93.09%	0.00%	1	ba	{F oh } my gosh
93.09%	0.00%	1	ba	{D Well } [ that's +  that's ] really good
93.09%	0.00%	1	ba	It figures
93.10%	0.00%	1	bf	{C so } it's getting close
93.10%	0.00%	1	ba	Whoa okay!
93.10%	0.00%	1	ba	Oh wow
93.10%	0.00%	1	ba	{F Oh } I can believe that
93.10%	0.00%	1	bf	{C And then } you might have more control  over {F uh } [ the + the ] morals that they would be taught rather than in  {D like } a classroom or a day care center
93.11%	0.00%	1	b	{F Oh } backless
93.11%	0.00%	1	ba	{F Oh } you bet it's ju- -
93.11%	0.00%	1	ba	they are
93.11%	0.00%	1	ba	It beats memberships at some of these clubs
93.11%	0.00%	1	ba	isn't that wonderful
93.12%	0.00%	1	b	Boy
93.12%	0.00%	1	ba	{D Well }  that's nice
93.12%	0.00%	1	b	Yeah <child>
93.12%	0.00%	1	b^m	The Legend
93.13%	0.00%	1	ba	That's got to be frustrating
93.13%	0.00%	1	b^m	Potential
93.13%	0.00%	1	br	You had eight  boys and one girl?
93.13%	0.00%	1	b	my mom she just loves to fish
93.13%	0.00%	1	b	[ [ Ye- +  ye- ] + yeah ]
93.14%	0.00%	1	ba	I expect so
93.14%	0.00%	1	b	<Beep>  Okay {F uh }
93.14%	0.00%	1	ba	Oh golly
93.14%	0.00%	1	b	{D Actually } yeah
93.14%	0.00%	1	bf	{D Boy } it sounds like you're really into it
93.15%	0.00%	1	b	{F Oh } {F uh } yeah
93.15%	0.00%	1	b	{F Oh } th-
93.15%	0.00%	1	ba	Immediately
93.15%	0.00%	1	ba	that would be a good idea
93.15%	0.00%	1	bf	{C and } they weren't
93.16%	0.00%	1	ba	{F Oh } {D dear }
93.16%	0.00%	1	bh	Don't they?
93.16%	0.00%	1	bf	Lab fees and all
93.16%	0.00%	1	bf	{C So } you're all back to the safety catches  and the whole nine yards or either watching them every minute
93.17%	0.00%	1	b	Uh-huh <children>
93.17%	0.00%	1	b	(( Really ))
93.17%	0.00%	1	ba	I know if it's related
93.17%	0.00%	1	b^m	{F Oh } Purdue
93.17%	0.00%	1	ba	that should be nice
93.18%	0.00%	1	b	{F Oh } yeah   ((   ))
93.18%	0.00%	1	ba	{D Well } I didn't know that
93.18%	0.00%	1	bh	{F Oh } he does?
93.18%	0.00%	1	b	{F Um } --
93.18%	0.00%	1	b	{F Oh } {D well } <laughter>  Yeah
93.19%	0.00%	1	ba	{D Well } that is good
93.19%	0.00%	1	b^m	[ N- + Nebraska  ] <laughter>
93.19%	0.00%	1	bf	That they are wanting -
93.19%	0.00%	1	ba	Okay
93.19%	0.00%	1	ba	Sounds like my grandchildren
93.20%	0.00%	1	b	((   ))  [ e- + ] right
93.20%	0.00%	1	b	Huh <<faint>>
93.20%	0.00%	1	ba	that makes sense
93.20%	0.00%	1	bf	you always work on trying to improve each day
93.21%	0.00%	1	bf	[ {C so } + {C so } ] [ the real + the real ] current news and the hard news -
93.21%	0.00%	1	ba	Ooh  <laughter>
93.21%	0.00%	1	bf	{C and } you have not been to Europe
93.21%	0.00%	1	ba	Gee whiz <child>
93.21%	0.00%	1	bf	warm rain
93.22%	0.00%	1	bf	((That's one of the exercise now))
93.22%	0.00%	1	b	{F Oh } o- <laughter> -
93.22%	0.00%	1	ba	{F Oh } {D well } that is interesting
93.22%	0.00%	1	bf	From the oldies but the goodies
93.22%	0.00%	1	bf	{D So } [ ei- + eighty ] years or so
93.23%	0.00%	1	bf	A little negative reinforcement there while you're going
93.23%	0.00%	1	bk	Okay  {F Uh }
93.23%	0.00%	1	bk	Okay {D well } {D see }
93.23%	0.00%	1	ba	{D So }  {F um } {D well } that's kind of interesting
93.23%	0.00%	1	bf	Boy {C so } [ you + you ] have a lot of experience as far as {D you know } different ways a family can interact [ and + and ]  do things together
93.24%	0.00%	1	b^m	Wild flowers
93.24%	0.00%	1	b	{C and } -
93.24%	0.00%	1	bf	Empowerment issues
93.24%	0.00%	1	ba	That'll do it
93.25%	0.00%	1	ba	{D Well } that's nice that it's not in your house
93.25%	0.00%	1	bf	Arlington area
93.25%	0.00%	1	ba	That's re- -
93.25%	0.00%	1	bf	Had somehow gotten in
93.25%	0.00%	1	bf	{C So } it has the ability to do just  about any type of sewing you want to do
93.26%	0.00%	1	ba	{F Oh } my heaven
93.26%	0.00%	1	b^m	Don't retire
93.26%	0.00%	1	ba	{D Well } [ [ [ that's + that's  ] + that  ] + that's  ] very true
93.26%	0.00%	1	bf	The the disorganized play (( )) really what it was
93.26%	0.00%	1	ba	{F Oh } that's a neat idea
93.27%	0.00%	1	ba	<Child_crying> {F Oh } gosh
93.27%	0.00%	1	ba	{F Huh }  that
93.27%	0.00%	1	ba	I'll be
93.27%	0.00%	1	ba	Why sure
93.27%	0.00%	1	b^m	-- Mile a Minute
93.28%	0.00%	1	b	Golly
93.28%	0.00%	1	ba	It sounds nice
93.28%	0.00%	1	ba	Hey <laughter>
93.28%	0.00%	1	ba	Sounds interesting
